Comment,Designator,Footprint,LCSC,Quantity
Conn_01x10_Pin,J1,PinHeader_1x10_P2.54mm_Vertical,C492409,1
DIN-8,"J6,J7",CUI_SDS-80J,C5382951,2
RS3-0505D,PS1,CONV_RS3-0505D,C5870380,1
